Unnamed: 0_level_0;Unnamed: 1_level_0;Local;Local;Local;Local;Local;Local;Local;Local;Local;Visitante;Visitante;Visitante;Visitante;Visitante;Visitante;Visitante;Visitante;Visitante;Temporada
RL;Equipo;PJ;PG;PE;PP;GF;GC;DG;Pts;Pts/PJ;PJ;PG;PE;PP;GF;GC;DG;Pts;Pts/PJ;
1;Colo-Colo;7;5;1;1;18;7;11;16;2.29;8;5;2;1;15;6;9;17;2.13;2017
2;Unión Española;7;5;2;0;10;3;7;17;2.43;8;4;2;2;8;9;-1;14;1.75;2017
3;U de Chile;8;5;2;1;13;11;2;17;2.13;7;4;1;2;8;7;1;13;1.86;2017
4;Everton;7;4;2;1;14;7;7;14;2.0;8;3;3;2;10;12;-2;12;1.5;2017
5;Audax Italiano;8;4;1;3;12;12;0;13;1.63;7;3;3;1;12;7;5;12;1.71;2017
6;CD Temuco;8;4;3;1;7;3;4;15;1.88;7;1;4;2;8;9;-1;7;1.0;2017
7;Antofagasta;8;2;4;2;8;10;-2;10;1.25;7;3;2;2;6;3;3;11;1.57;2017
8;Curico Unido;8;3;2;3;5;5;0;11;1.38;7;2;1;4;6;9;-3;7;1.0;2017
9;San Luis;7;3;2;2;8;7;1;11;1.57;8;2;1;5;7;13;-6;7;0.88;2017
10;U Concepción;8;1;5;2;8;10;-2;8;1.0;7;2;3;2;8;5;3;9;1.29;2017
11;Univ Católica;7;3;2;2;8;5;3;11;1.57;8;1;2;5;9;14;-5;5;0.63;2017
12;Huachipato;7;4;0;3;8;8;0;12;1.71;8;1;1;6;3;9;-6;4;0.5;2017
13;Wanderers;7;0;5;2;6;9;-3;5;0.71;8;2;4;2;10;8;2;10;1.25;2017
14;O'Higgins;8;3;0;5;8;14;-6;9;1.13;7;1;3;3;7;10;-3;6;0.86;2017
15;Palestino;8;3;3;2;11;8;3;12;1.5;7;0;1;6;7;16;-9;1;0.14;2017
16;Iquique;7;1;1;5;3;10;-7;4;0.57;8;1;2;5;5;10;-5;5;0.63;2017
1;Univ Católica;15;12;3;0;24;10;14;39;2.6;15;5;7;3;15;15;0;22;1.47;2018
2;U Concepción;15;11;3;1;23;9;14;36;2.4;15;7;1;7;22;22;0;22;1.47;2018
3;U de Chile;15;8;2;5;22;15;7;26;1.73;15;10;1;4;23;22;1;31;2.07;2018
4;Antofagasta;15;9;4;2;24;14;10;31;2.07;15;5;7;3;24;19;5;22;1.47;2018
5;Colo-Colo;15;8;4;3;22;16;6;28;1.87;15;4;3;8;18;22;-4;15;1.0;2018
6;La Calera;15;5;3;7;19;20;-1;18;1.2;15;8;1;6;19;18;1;25;1.67;2018
7;Unión Española;15;6;6;3;27;23;4;24;1.6;15;3;8;4;17;19;-2;17;1.13;2018
8;O'Higgins;15;6;4;5;27;20;7;22;1.47;15;6;1;8;14;21;-7;19;1.27;2018
9;Huachipato;15;6;6;3;18;9;9;24;1.6;15;4;3;8;21;23;-2;15;1.0;2018
10;Audax Italiano;15;6;6;3;28;17;11;24;1.6;15;2;4;9;12;23;-11;10;0.67;2018
11;Everton;15;6;4;5;21;18;3;22;1.47;15;3;3;9;18;26;-8;12;0.8;2018
12;Curico Unido;15;7;5;3;23;16;7;26;1.73;15;1;5;9;12;24;-12;8;0.53;2018
13;Palestino;15;5;5;5;25;21;4;20;1.33;15;2;6;7;16;24;-8;12;0.8;2018
14;Iquique;15;5;4;6;19;20;-1;19;1.27;15;2;7;6;15;22;-7;13;0.87;2018
15;CD Temuco;15;4;4;7;15;24;-9;16;1.07;15;2;6;7;14;21;-7;12;0.8;2018
16;San Luis;15;3;4;8;12;20;-8;13;0.87;15;2;4;9;12;28;-16;10;0.67;2018
1;Univ Católica;11;6;4;1;20;4;16;22;2.0;13;10;1;2;24;10;14;31;2.38;2019
2;Colo-Colo;13;8;2;3;20;13;7;26;2.0;11;3;5;3;17;17;0;14;1.27;2019
3;Palestino;12;6;4;2;24;13;11;22;1.83;12;4;4;4;18;18;0;16;1.33;2019
4;La Calera;12;7;3;2;18;9;9;24;2.0;12;2;6;4;11;14;-3;12;1.0;2019
5;Coquimbo Unido;12;5;6;1;21;12;9;21;1.75;12;3;4;5;8;15;-7;13;1.08;2019
6;Huachipato;12;6;3;3;17;12;5;21;1.75;12;3;4;5;14;18;-4;13;1.08;2019
7;Audax Italiano;12;5;2;5;21;21;0;17;1.42;12;5;2;5;14;14;0;17;1.42;2019
