Equipo,Temporada,PJ,PG,PE,PP,GF,GC,DG,Pts,Campeon
Colo-Colo,2017,15,10,3,2,33,13,20,33,1
Unión Española,2017,15,9,4,2,18,12,6,31,0
U de Chile,2017,15,9,3,3,21,18,3,30,0
Everton,2017,15,7,5,3,24,19,5,26,0
Audax Italiano,2017,15,7,4,4,24,19,5,25,0
CD Temuco,2017,15,5,7,3,15,12,3,22,0
Antofagasta,2017,15,5,6,4,14,13,1,21,0
Curico Unido,2017,15,5,3,7,11,14,-3,18,0
San Luis,2017,15,5,3,7,15,20,-5,18,0
U Concepción,2017,15,3,8,4,16,15,1,17,0
Univ Católica,2017,15,4,4,7,17,19,-2,16,0
Huachipato,2017,15,5,1,9,11,17,-6,16,0
Wanderers,2017,15,2,9,4,16,17,-1,15,0
O'Higgins,2017,15,4,3,8,15,24,-9,15,0
Palestino,2017,15,3,4,8,18,24,-6,13,0
Iquique,2017,15,2,3,10,8,20,-12,9,0
Univ Católica,2018,30,17,10,3,39,25,14,61,1
U Concepción,2018,30,18,4,8,45,31,14,58,0
U de Chile,2018,30,18,3,9,45,37,8,57,0
Antofagasta,2018,30,14,11,5,48,33,15,53,0
Colo-Colo,2018,30,12,7,11,40,38,2,43,0
La Calera,2018,30,13,4,13,38,38,0,43,0
Unión Española,2018,30,9,14,7,44,42,2,41,0
O'Higgins,2018,30,12,5,13,41,41,0,41,0
Huachipato,2018,30,10,9,11,39,32,7,39,0
Audax Italiano,2018,30,8,10,12,40,40,0,34,0
Everton,2018,30,9,7,14,39,44,-5,34,0
Curico Unido,2018,30,8,10,12,35,40,-5,34,0
Palestino,2018,30,7,11,12,41,45,-4,32,0
Iquique,2018,30,7,11,12,34,42,-8,32,0
CD Temuco,2018,30,6,10,14,29,45,-16,28,0
San Luis,2018,30,5,8,17,24,48,-24,23,0
Univ Católica,2019,24,16,5,3,44,14,30,53,1
Colo-Colo,2019,24,11,7,6,37,30,7,40,0
